LOCATION,PLUSPCUSTOMER,NAME,LATITUDEY,LONGITUDEX,ANCESTOR,BRANCH,TYPE,STATUS,POSTALCODE,ORGID
L1000000,H1000000,WM MORRISONS SUPERMARKETS PLC,57.15068617,-2.09700848,901000,900000,,OPERATING,AB24 5DA,INTHK
L1000001,H1000000,WM MORRISONS SUPERMARKETS PLC,51.82349552,-3.01858908,901000,900000,,OPERATING,NP7 5TR,INTHK
L1000002,H1000000,WM MORRISONS SUPERMARKETS PLC,51.50677722,-0.27471728,901000,900000,,OPERATING,W3 9NX,INTHK
L1000004,H1000000,WM MORRISONS SUPERMARKETS PLC,51.24937072,-0.76934458,901000,900000,,OPERATING,GU11 1NX,INTHK
L1000006,H1000000,WM MORRISONS SUPERMARKETS PLC,57.69308042,-4.24616793,901000,900000,,OPERATING,IV17 0UF,INTHK
L1000007,H1000000,WM MORRISONS SUPERMARKETS PLC,55.327951,-1.58443348,901000,900000,,OPERATING,NE65 0PE,INTHK
L1000009,H1000000,WM MORRISONS SUPERMARKETS PLC,55.88957817,-4.32501573,901000,900000,,OPERATING,G13 1HY,INTHK
L1000010,H1000000,WM MORRISONS SUPERMARKETS PLC,56.56099607,-2.58742398,901000,900000,,OPERATING,DD11 1LL,INTHK
L1000011,H1000000,WM MORRISONS SUPERMARKETS PLC,55.866111,-4.1321285,901000,900000,,OPERATING,G34 9JJ,INTHK
L1000012,H1000000,WM MORRISONS SUPERMARKETS PLC,55.45419547,-4.62747838,901000,900000,,OPERATING,KA7 2HT,INTHK
L1000013,H1000000,WM MORRISONS SUPERMARKETS PLC,51.60329117,-3.81337058,901000,900000,,OPERATING,SA12 7DA,INTHK
L1000014,H1000000,WM MORRISONS SUPERMARKETS PLC,55.85018532,-4.10657318,901000,900000,,OPERATING,G69 7HU,INTHK
L1000017,H1000000,WM MORRISONS SUPERMARKETS PLC,51.68644237,-3.23077988,901000,900000,,OPERATING,CF81 8NX,INTHK
L1000018,H1000000,WM MORRISONS SUPERMARKETS PLC,54.54388912,-1.92436373,901000,900000,,OPERATING,DL12 8EJ,INTHK
L1000021,H1000000,WM MORRISONS SUPERMARKETS PLC,51.40080502,-3.2721628,901000,900000,,OPERATING,CF63 4BA,INTHK
L1000022,H1000000,WM MORRISONS SUPERMARKETS PLC,51.261381,-1.1063889,901000,900000,,OPERATING,RG21 8BJ,INTHK
L1000023,H1000000,WM MORRISONS SUPERMARKETS PLC,55.8943,-3.64937,901000,900000,,OPERATING,EH48 2SS,INTHK
L1000024,H1000000,WM MORRISONS SUPERMARKETS PLC,52.12156647,-0.47398448,901000,900000,,OPERATING,MK42 9PP,INTHK
L1000025,H1000000,WM MORRISONS SUPERMARKETS PLC,53.38706222,-2.85908543,901000,900000,,OPERATING,L25 2RD,INTHK
L1000027,H1000000,WM MORRISONS SUPERMARKETS PLC,55.8266,-4.0388142,901000,900000,,OPERATING,ML4 3AD,INTHK
L1000031,H1000000,WM MORRISONS SUPERMARKETS PLC,55.90410257,-4.22606743,901000,900000,,OPERATING,G64 2LS,INTHK
L1000033,H1000000,WM MORRISONS SUPERMARKETS PLC,55.12715782,-1.51413403,901000,900000,,OPERATING,NE24 1ES,INTHK
L1000034,H1000000,WM MORRISONS SUPERMARKETS PLC,50.78266262,-0.67657243,901000,900000,,OPERATING,PO21 1QP,INTHK
L1000035,H1000000,WM MORRISONS SUPERMARKETS PLC,53.57294752,-2.43094378,901000,900000,,OPERATING,BL1 1PQ,INTHK
L1000036,H1000000,WM MORRISONS SUPERMARKETS PLC,51.64217947,-0.25689913,901000,900000,,OPERATING,WD6 2RN,INTHK
L1000037,H1000000,WM MORRISONS SUPERMARKETS PLC,53.8046,-1.6378,901000,900000,,OPERATING,LS13 4AF,INTHK
L1000038,H1000000,WM MORRISONS SUPERMARKETS PLC,51.47193,-0.328771,901000,900000,,OPERATING,TW8 0AB,INTHK
L1000039,H1000000,WM MORRISONS SUPERMARKETS PLC,50.72523267,-2.75768678,901000,900000,,OPERATING,DT6 4SB,INTHK
L1000040,H1000000,WM MORRISONS SUPERMARKETS PLC,50.81968837,-0.13657043,901000,900000,,OPERATING,BN2 1RE,INTHK
L1000041,H1000000,WM MORRISONS SUPERMARKETS PLC,51.47711002,-2.53331858,901000,900000,,OPERATING,BS16 3US,INTHK
L1000042,H1000000,WM MORRISONS SUPERMARKETS PLC,54.97575712,-1.58750473,901000,900000,,OPERATING,NE6 1EJ,INTHK
L1000043,H1000000,WM MORRISONS SUPERMARKETS PLC,51.47137987,-0.09365573,901000,900000,,OPERATING,SE5 8RR,INTHK
L1000045,H1000000,WM MORRISONS SUPERMARKETS PLC,55.821135,-4.1714913,901000,900000,,OPERATING,G72 7EA,INTHK
L1000047,H1000000,WM MORRISONS SUPERMARKETS PLC,51.4916547,-3.1822109,901000,900000,,OPERATING,CF23 9UF,INTHK
L1000048,H1000000,WM MORRISONS SUPERMARKETS PLC,51.4506,-3.1844514,901000,900000,,OPERATING,CF11 0JP,INTHK
L1000050,H1000000,WM MORRISONS SUPERMARKETS PLC,55.900699,-3.54680298,901000,900000,,OPERATING,EH54 8PT,INTHK
L1000052,H1000000,WM MORRISONS SUPERMARKETS PLC,53.387054,-1.3741649,901000,900000,,OPERATING,S60 5TR,INTHK
L1000053,H1000000,WM MORRISONS SUPERMARKETS PLC,51.28004227,-0.07847348,901000,900000,,OPERATING,CR3 6RT,INTHK
L1000054,H1000000,WM MORRISONS SUPERMARKETS PLC,54.85571312,-1.57670258,901000,900000,,OPERATING,DH3 3YQ,INTHK
L1000056,H1000000,WM MORRISONS SUPERMARKETS PLC,52.90166677,-1.18141543,901000,900000,,OPERATING,NG11 9LQ,INTHK
L1000057,H1000000,WM MORRISONS SUPERMARKETS PLC,51.59253047,-0.26249138,901000,900000,,OPERATING,NW9 0AS,INTHK
L1000058,H1000000,WM MORRISONS SUPERMARKETS PLC,53.29431207,-3.72598058,901000,900000,,OPERATING,LL29 8DG,INTHK
L1000060,H1000000,WM MORRISONS SUPERMARKETS PLC,54.847311,-1.83674738,901000,900000,,OPERATING,DH8 5RE,INTHK
L1000062,H1000000,WM MORRISONS SUPERMARKETS PLC,52.41153772,-1.53303213,901000,900000,,OPERATING,CV5 8BX,INTHK
L1000063,H1000000,WM MORRISONS SUPERMARKETS PLC,56.10802477,-3.34350558,901000,900000,,OPERATING,KY4 8LW,INTHK
L1000064,H1000000,WM MORRISONS SUPERMARKETS PLC,51.11519497,-0.19148573,901000,900000,,OPERATING,RH10 1BZ,INTHK
L1000065,H1000000,WM MORRISONS SUPERMARKETS PLC,55.83313292,-4.28801723,901000,900000,,OPERATING,G41 4DA,INTHK
L1000066,H1000000,WM MORRISONS SUPERMARKETS PLC,51.05736272,0.15868812,901000,900000,,OPERATING,TN6 1DP,INTHK
L1000067,H1000000,WM MORRISONS SUPERMARKETS PLC,51.36391847,-0.11958213,901000,900000,,OPERATING,CR0 4RZ,INTHK
L1000068,H1000000,WM MORRISONS SUPERMARKETS PLC,51.65447927,-3.02113958,901000,900000,,OPERATING,NP44 1QP,INTHK
L1000070,H1000000,WM MORRISONS SUPERMARKETS PLC,53.80499152,-1.7151512,901000,900000,,OPERATING,BD3 7DL,INTHK
L1000071,H1000000,WM MORRISONS SUPERMARKETS PLC,53.45364192,-2.11342378,901000,900000,,OPERATING,M34 3DS,INTHK
L1000072,H1000000,WM MORRISONS SUPERMARKETS PLC,51.35168867,-1.99019493,901000,900000,,OPERATING,SN10 1LA,INTHK
L1000073,H1000000,WM MORRISONS SUPERMARKETS PLC,52.368824,1.1076442,901000,900000,,OPERATING,IP22 4XF,INTHK
L1000074,H1000000,WM MORRISONS SUPERMARKETS PLC,53.495263,-1.1314527,901000,900000,,OPERATING,DN4 5JP,INTHK
L1000075,H1000000,WM MORRISONS SUPERMARKETS PLC,51.13020377,1.30618292,901000,900000,,OPERATING,CT16 1RA,INTHK
L1000076,H1000000,WM MORRISONS SUPERMARKETS PLC,54.86587172,-1.41603073,901000,900000,,OPERATING,SR3 2NE,INTHK
L1000078,H1000000,WM MORRISONS SUPERMARKETS PLC,55.06777852,-3.60474813,901000,900000,,OPERATING,DG1 2DR,INTHK
L1000080,H1000000,WM MORRISONS SUPERMARKETS PLC,51.51296287,-0.30535838,901000,900000,,OPERATING,W5 2ND,INTHK
L1000082,H1000000,WM MORRISONS SUPERMARKETS PLC,50.781631,0.2813797,901000,900000,,OPERATING,BN23 6QL,INTHK
L1000083,H1000000,WM MORRISONS SUPERMARKETS PLC,53.48066747,-2.33641873,901000,900000,,OPERATING,M30 0FH,INTHK
L1000084,H1000000,WM MORRISONS SUPERMARKETS PLC,52.47012562,-1.92117388,901000,900000,,OPERATING,B15 1TR,INTHK
L1000086,H1000000,WM MORRISONS SUPERMARKETS PLC,53.27201862,-2.91167033,901000,900000,,OPERATING,CH65 6RU,INTHK
L1000087,H1000000,WM MORRISONS SUPERMARKETS PLC,55.90239867,-4.4510784,901000,900000,,OPERATING,PA8 7AA,INTHK
L1000088,H1000000,WM MORRISONS SUPERMARKETS PLC,50.73235172,-3.50464513,901000,900000,,OPERATING,EX4 7BY,INTHK
L1000089,H1000000,WM MORRISONS SUPERMARKETS PLC,53.50340167,-2.17210228,901000,900000,,OPERATING,M35 0HY,INTHK
L1000090,H1000000,WM MORRISONS SUPERMARKETS PLC,56.003242,-3.7924492,901000,900000,,OPERATING,FK1 5BU,INTHK
L1000091,H1000000,WM MORRISONS SUPERMARKETS PLC,53.79514177,-1.7970527,901000,900000,,OPERATING,BD8 9RU,INTHK
L1000092,H1000000,WM MORRISONS SUPERMARKETS PLC,53.203345,-2.5060484,901000,900000,,OPERATING,CW7 3BB,INTHK
L1000093,H1000000,WM MORRISONS SUPERMARKETS PLC,55.96829917,-3.2355836,901000,900000,,OPERATING,EH5 2XS,INTHK
L1000094,H1000000,WM MORRISONS SUPERMARKETS PLC,51.28863622,-0.85837373,901000,900000,,OPERATING,GU51 1GY,INTHK
L1000095,H1000000,WM MORRISONS SUPERMARKETS PLC,52.887094,-1.4855068,901000,900000,,OPERATING,DE24 9GL,INTHK
L1000096,H1000000,WM MORRISONS SUPERMARKETS PLC,56.82137447,-5.10753568,901000,900000,,OPERATING,PH33 6AN,INTHK
L1000098,H1000000,WM MORRISONS SUPERMARKETS PLC,55.85564827,-4.2340425,901000,900000,,OPERATING,G4 0TZ,INTHK
L1000099,H1000000,WM MORRISONS SUPERMARKETS PLC,55.80625422,-4.29609133,901000,900000,,OPERATING,G46 6AA,INTHK
L1000100,H1000000,WM MORRISONS SUPERMARKETS PLC,51.14397952,-2.72119323,901000,900000,,OPERATING,BA6 9ED,INTHK
L1000101,H1000000,WM MORRISONS SUPERMARKETS PLC,56.19686467,-3.1637867,901000,900000,,OPERATING,KY7 5QS,INTHK
L1000102,H1000000,WM MORRISONS SUPERMARKETS PLC,51.858695,-2.2266955,901000,900000,,OPERATING,GL1 1AH,INTHK
L1000103,H1000000,WM MORRISONS SUPERMARKETS PLC,51.84011262,-2.20728513,901000,900000,,OPERATING,GL4 4FF,INTHK
L1000104,H1000000,WM MORRISONS SUPERMARKETS PLC,53.70529317,-0.88029423,901000,900000,,OPERATING,DN14 6EN,INTHK
L1000106,H1000000,WM MORRISONS SUPERMARKETS PLC,50.79373287,-1.12838038,901000,900000,,OPERATING,PO12 1NQ,INTHK
L1000107,H1000000,WM MORRISONS SUPERMARKETS PLC,52.90734122,-0.64534298,901000,900000,,OPERATING,NG31 6BQ,INTHK
L1000109,H1000000,WM MORRISONS SUPERMARKETS PLC,51.47602487,0.31944907,901000,900000,,OPERATING,RM17 5XZ,INTHK
L1000114,H1000000,WM MORRISONS SUPERMARKETS PLC,55.782452,-4.0566149,901000,900000,,OPERATING,ML3 0BN,INTHK
L1000115,H1000000,WM MORRISONS SUPERMARKETS PLC,53.81155742,-1.51275808,901000,900000,,OPERATING,LS8 3QJ,INTHK
